Timestamp,SupplyTemperatureHP,ReturnTemperatureHP,SupplyTemperatureAHU,ReturnTemperatureAHU,SupplyTemperatureHot,ReturnTemperatureHot,SupplyTemperatureCol,ReturnTemperatureCol,PCMTemperatureHot,PCMTemperatureCold,ControlsPowerW,PumpPowerW,AHUPowerW,AermecPowerW,xCoeffOfPerfSys,xCoeffOfPerfHP,xSOCCold,xSOCHot,xThermalOutputHP,xThermalInputAHU,xThermalOutputCold,xThermalOutputHot,rVolGPM
2024-07-14 20:42:47,39.03,31.2,23.16,23.34,37.9,30.54,22.83,23.89,-106.68,-92.69,17.41,8.7,2.18,-71.34,3.55,3.8,0.0,1.0,14.73,0.34,0.0,13.85,7.06
2024-07-14 20:43:21,40.63,32.59,23.16,23.34,39.5,31.89,22.83,24.34,-107.94,-92.6,17.41,8.7,2.18,120.13,3.47,3.72,0.0,1.0,15.06,0.33,0.0,14.19,7.03
2024-07-14 20:43:56,42.25,33.99,23.15,23.34,41.11,33.25,22.83,24.81,-106.33,-92.41,17.41,8.7,2.18,295.44,3.44,3.64,0.0,1.0,15.36,0.33,0.0,14.31,6.89
2024-07-14 20:44:30,43.76,35.38,23.15,23.33,42.61,34.63,22.84,25.33,-110.59,-92.94,16.32,8.7,2.18,295.44,3.43,3.61,0.0,1.0,15.29,0.33,0.0,14.6,6.89
2024-07-14 20:45:04,45.12,36.68,23.15,23.33,44.03,35.94,22.84,25.95,-108.24,-92.73,16.32,8.7,2.18,-166.84,3.43,3.6,0.0,1.0,15.89,0.32,0.0,15.25,7.13
2024-07-14 20:45:39,46.33,37.94,23.14,23.32,45.26,37.18,22.84,26.67,-106.12,-92.41,16.32,8.7,2.18,4.4,3.22,3.36,0.0,1.0,15.42,0.33,0.0,14.88,6.96
2024-07-14 20:46:13,47.45,39.13,23.14,23.31,46.4,38.41,22.85,27.52,-110.72,-92.8,16.32,8.7,2.18,4.4,3.2,3.34,0.0,1.0,15.31,0.33,0.0,14.7,6.96
2024-07-14 20:46:48,48.56,40.33,23.13,23.31,47.53,39.59,22.85,28.38,-106.39,-92.48,16.31,8.7,2.17,153.83,3.12,3.26,0.0,1.0,15.51,0.32,0.0,14.91,7.11
2024-07-14 20:47:22,49.65,41.5,23.12,23.3,48.62,40.74,22.86,29.17,-105.56,-92.56,17.39,8.7,2.17,264.32,3.0,3.12,0.0,1.0,15.13,0.32,0.0,14.61,7.04
2024-07-14 20:47:57,50.7,42.6,23.12,23.29,49.66,41.86,22.88,30.05,-105.44,-92.31,17.39,8.7,2.17,264.32,2.98,3.11,0.0,1.0,15.06,0.3,0.0,14.55,7.04
2024-07-14 20:48:31,51.47,43.62,23.11,23.28,50.56,42.85,22.92,30.92,-106.56,-92.7,16.31,11.96,2.17,327.03,2.88,2.93,0.0,1.0,14.36,0.3,0.0,14.12,7.03
2024-07-14 20:49:05,52.0,44.54,23.1,23.27,51.13,43.78,23.01,31.81,-107.48,-92.7,16.32,13.06,2.18,313.2,3.09,3.13,0.0,1.0,13.25,0.29,0.0,13.1,6.85
2024-07-14 20:49:40,52.36,45.38,23.1,23.26,51.56,44.62,23.12,32.7,-157.01,-93.14,16.32,13.06,2.18,-96.57,3.23,3.25,0.0,1.0,13.09,0.31,0.0,13.08,7.24
2024-07-14 20:50:14,52.66,46.11,23.09,23.25,51.88,45.35,23.26,33.67,-106.5,-92.59,16.32,13.06,2.18,-96.57,3.21,3.24,0.0,1.0,12.39,0.29,0.0,12.35,7.24
2024-07-14 20:50:48,52.99,46.71,23.08,23.24,52.22,45.93,23.42,34.46,-106.16,-92.87,17.41,13.06,2.18,-309.93,3.24,3.28,0.0,1.0,11.85,0.3,0.0,11.83,7.19
2024-07-14 20:51:23,53.26,47.23,23.07,23.23,52.5,46.49,23.6,35.2,-157.13,-92.94,16.32,11.97,2.18,171.91,3.25,3.28,0.0,1.0,11.28,0.28,0.0,11.28,7.17
2024-07-14 20:51:57,53.45,47.67,23.06,23.22,52.7,46.93,23.81,35.85,-111.26,-93.02,16.32,11.97,2.18,171.91,3.12,3.15,0.0,1.0,10.86,0.28,0.0,10.83,7.17
2024-07-14 20:52:31,53.69,48.02,23.06,23.21,52.92,47.31,24.03,36.53,-110.71,-92.96,17.41,8.7,2.18,43.3,3.24,3.31,0.0,1.0,10.96,0.27,0.0,10.82,7.32
2024-07-14 20:53:06,53.81,48.32,23.05,23.19,53.13,47.63,24.25,37.14,-106.39,-92.81,17.42,8.71,2.18,-279.44,3.39,3.4,0.0,1.0,10.15,0.26,0.0,10.17,7.14
2024-07-14 20:53:40,53.83,48.58,23.04,23.19,53.11,47.91,24.48,37.71,-157.19,-92.58,17.42,8.71,2.18,-279.44,3.24,3.3,0.0,1.0,9.9,0.26,0.0,9.77,7.14
2024-07-14 20:54:14,54.03,48.8,23.04,23.18,53.3,48.14,24.71,38.21,-105.61,-92.72,16.34,8.71,2.18,-237.4,3.27,3.33,0.0,1.0,10.15,0.27,0.0,10.03,7.35
2024-07-14 20:54:49,54.18,48.99,23.03,23.17,53.45,48.32,24.94,38.79,-107.94,-92.8,17.42,10.89,2.18,-236.0,3.08,3.14,0.0,1.0,9.54,0.24,0.0,9.43,6.97
2024-07-14 20:55:23,54.31,49.15,23.02,23.16,53.59,48.49,25.18,39.41,-156.71,-92.57,16.34,10.89,2.18,-215.69,3.03,3.1,0.0,1.0,9.6,0.24,0.0,9.49,7.06
2024-07-14 20:55:58,54.39,49.3,23.02,23.15,53.67,48.64,25.42,39.88,-105.27,-92.4,16.34,10.89,2.18,-215.69,3.04,3.09,0.0,1.0,9.47,0.24,0.0,9.38,7.06
2024-07-14 20:56:32,54.5,49.44,23.01,23.14,53.79,48.79,25.66,40.38,-106.39,-92.56,17.42,8.71,2.18,-260.5,3.17,3.22,0.0,1.0,9.7,0.23,0.0,9.64,7.31
2024-07-14 20:57:07,54.59,49.56,23.0,23.13,53.87,48.92,25.89,40.79,-110.89,-92.76,17.41,8.7,2.18,-302.53,3.18,3.26,0.0,1.0,9.67,0.23,0.0,9.53,7.28
2024-07-14 20:57:41,54.65,49.67,22.99,23.12,53.96,49.02,26.12,41.17,-107.88,-92.72,17.41,8.7,2.18,-302.53,3.16,3.22,0.0,1.0,9.57,0.25,0.0,9.47,7.28
2024-07-14 20:58:15,54.69,49.77,22.99,23.11,54.0,49.13,26.33,41.49,-156.89,-92.64,17.42,11.98,2.18,310.76,3.18,3.26,0.0,1.0,9.58,0.23,0.0,9.43,7.33
2024-07-14 20:58:50,54.81,49.87,22.98,23.1,54.1,49.23,26.55,41.83,-110.38,-92.22,17.44,8.72,2.18,312.11,3.22,3.28,0.0,1.0,9.62,0.23,0.0,9.52,7.4
2024-07-14 20:59:24,54.87,49.96,22.98,23.09,54.17,49.32,26.76,42.09,-104.38,-92.37,17.44,8.72,2.18,312.11,3.2,3.33,0.0,1.0,9.56,0.21,0.0,9.44,7.4
2024-07-14 20:59:58,54.9,50.05,22.97,23.08,54.2,49.4,26.96,42.34,-106.06,-92.32,16.35,8.72,2.18,246.92,3.11,3.17,0.0,1.0,9.12,0.21,0.0,9.01,7.1
2024-07-14 21:00:32,54.97,50.14,22.97,23.08,54.29,49.49,27.16,42.6,-104.23,-92.38,17.42,10.89,2.18,223.88,3.13,3.21,0.0,1.0,9.1,0.19,0.0,9.01,7.14
2024-07-14 21:01:06,55.02,50.22,22.96,23.07,54.33,49.59,27.36,42.84,-104.44,-92.15,16.29,8.69,2.17,259.34,3.08,3.15,0.0,1.0,8.74,0.18,0.0,8.61,6.87
2024-07-14 21:01:41,55.06,50.3,22.96,23.06,54.37,49.66,27.56,43.06,-102.7,-92.11,16.29,8.69,2.17,259.34,2.94,2.99,0.0,1.0,8.61,0.2,0.0,8.52,6.87
2024-07-14 21:02:15,55.15,50.39,22.95,23.05,54.45,49.75,27.75,43.25,-103.55,-92.07,16.29,8.69,2.17,217.33,3.11,3.14,0.0,1.0,8.92,0.19,0.0,8.85,7.16
2024-07-14 21:02:50,55.16,50.47,22.95,23.04,54.48,49.83,27.95,43.49,-104.86,-92.23,16.29,10.86,2.17,108.98,3.17,3.21,0.0,1.0,8.77,0.19,0.0,8.71,7.14
2024-07-14 21:03:24,55.21,50.55,22.94,23.04,54.52,49.9,28.15,43.75,-103.36,-91.96,16.29,10.86,2.17,108.98,3.16,3.21,0.0,1.0,8.75,0.17,0.0,8.69,7.14
2024-07-14 21:03:59,55.26,50.64,22.94,23.03,54.57,50.0,28.34,43.92,-101.54,-91.82,17.39,8.7,2.17,152.32,3.14,3.22,0.0,1.0,8.92,0.17,0.0,8.8,7.29
2024-07-14 21:04:33,55.35,50.72,22.93,23.02,54.66,50.07,28.52,44.11,-102.19,-91.78,17.38,11.95,2.17,107.72,3.21,3.26,0.0,1.0,8.9,0.17,0.0,8.83,7.32
2024-07-14 21:05:07,55.38,50.81,22.93,23.01,54.69,50.17,28.7,44.32,-102.55,-91.92,17.38,11.95,2.17,130.65,3.14,3.21,0.0,1.0,8.83,0.17,0.0,8.75,7.32
2024-07-14 21:05:42,55.45,50.9,22.92,23.01,54.76,50.25,28.88,44.45,-101.87,-91.6,16.31,8.7,2.17,130.65,3.16,3.21,0.0,1.0,8.8,0.18,0.0,8.76,7.38
2024-07-14 21:06:17,55.49,50.99,22.92,23.0,54.79,50.35,29.05,44.54,-101.4,-91.58,16.31,8.7,2.17,130.65,3.1,3.15,0.0,1.0,8.66,0.16,0.0,8.6,7.35
2024-07-14 21:06:51,55.57,51.09,22.91,22.99,54.86,50.44,29.22,44.66,-101.62,-91.65,16.29,11.95,2.17,22.3,3.05,3.1,0.0,1.0,8.19,0.15,0.0,8.14,6.97
2024-07-14 21:07:26,55.53,51.19,22.91,22.99,54.85,50.54,29.39,44.75,-101.44,-91.47,16.29,11.95,2.17,22.3,2.97,3.02,0.0,1.0,7.97,0.15,0.0,7.92,6.97
2024-07-14 21:07:00,55.63,51.3,22.91,22.99,54.92,50.64,29.54,44.88,-101.48,-91.55,17.39,8.7,2.17,3.05,3.03,3.09,0.0,1.0,8.1,0.13,0.0,8.04,7.1
2024-07-14 21:08:34,55.67,51.4,22.91,22.98,54.98,50.75,29.69,45.02,-101.25,-91.69,16.31,8.7,2.17,-62.02,3.03,3.07,0.0,1.0,7.85,0.15,0.0,7.83,7.04
2024-07-14 21:09:08,55.69,51.52,22.9,22.97,55.0,50.86,29.84,45.15,-100.73,-91.38,16.31,8.7,2.17,-62.02,2.97,3.01,0.0,1.0,7.7,0.13,0.0,7.66,7.04
2024-07-14 21:09:42,55.71,51.64,22.9,22.97,55.03,50.98,29.99,45.3,-101.16,-91.64,17.39,11.96,2.17,-104.24,3.04,3.1,0.0,1.0,7.79,0.12,0.0,7.75,7.27
2024-07-14 21:10:16,55.78,51.77,22.89,22.96,55.1,51.11,30.14,45.42,-102.2,-91.65,20.65,8.7,2.17,-148.78,3.05,3.09,0.0,1.0,7.62,0.13,0.0,7.6,7.27
2024-07-14 21:10:51,55.81,51.9,22.89,22.95,55.15,51.24,30.3,45.52,-101.8,-91.54,20.65,8.7,2.17,-278.92,3.15,3.18,0.0,1.0,7.43,0.12,0.0,7.43,7.27
2024-07-14 21:11:25,55.87,52.04,22.88,22.95,55.19,51.38,30.45,45.63,-101.48,-91.36,18.48,8.7,2.17,-278.92,3.08,3.14,0.0,1.0,7.35,0.12,0.0,7.29,7.28
2024-07-14 21:11:00,55.92,52.18,22.88,22.94,55.26,51.52,30.61,45.7,-100.67,-91.43,17.39,11.96,2.17,-257.23,2.89,2.91,0.0,1.0,6.89,0.11,0.0,6.89,7.05
2024-07-14 21:12:34,55.94,52.31,22.88,22.94,55.28,51.66,30.77,45.85,-101.09,-91.64,17.39,8.7,2.17,247.32,3.05,3.09,0.0,1.0,6.81,0.11,0.0,6.79,7.19
2024-07-14 21:13:09,55.94,52.46,22.88,22.93,55.3,51.81,30.92,46.0,-100.43,-91.3,17.39,8.7,2.17,247.32,2.93,2.97,0.0,1.0,6.59,0.09,0.0,6.55,7.19
2024-07-14 21:13:43,56.0,52.59,22.87,22.93,55.34,51.94,31.08,46.09,-99.52,-90.93,17.39,8.7,2.17,224.61,2.9,2.92,0.0,1.0,6.38,0.11,0.0,6.39,7.19
2024-07-14 21:14:17,56.03,52.73,22.87,22.93,55.36,52.07,31.23,46.24,-100.22,-91.14,16.31,8.7,2.17,138.82,2.91,2.96,0.0,1.0,6.23,0.11,0.0,6.17,7.15
2024-07-14 21:14:51,56.07,52.86,22.87,22.92,55.43,52.21,31.38,46.36,-100.25,-91.21,16.31,8.7,2.17,138.82,2.82,2.83,0.0,1.0,5.97,0.09,0.0,5.99,7.15
2024-07-14 21:15:25,56.09,52.98,22.87,22.92,55.44,52.32,31.52,46.5,-100.38,-91.2,17.39,11.96,2.17,95.42,2.87,2.89,0.0,1.0,5.96,0.12,0.0,5.98,7.35
2024-07-14 21:15:59,56.09,53.1,22.86,22.92,55.46,52.45,31.67,46.62,-100.14,-90.99,16.31,8.7,2.17,-35.67,2.84,2.85,0.0,1.0,5.5,0.11,0.0,5.54,7.08
2024-07-14 21:16:33,56.11,53.22,22.86,22.91,55.48,52.57,31.82,46.74,-99.52,-90.93,16.31,8.7,2.17,-35.67,2.84,2.84,0.0,1.0,5.27,0.09,0.0,5.35,7.08
2024-07-14 21:17:08,56.14,53.33,22.86,22.91,55.49,52.68,31.97,46.87,-99.68,-90.84,17.39,11.96,2.17,-99.88,2.76,2.75,0.0,1.0,5.1,0.09,0.0,5.19,7.1
2024-07-14 21:17:42,56.16,53.42,22.86,22.91,55.5,52.77,32.11,46.96,-99.49,-90.85,17.38,11.95,2.17,-35.67,2.7,2.71,0.0,1.0,5.19,0.1,0.0,5.25,7.37
2024-07-14 21:18:16,56.13,53.51,22.85,22.9,55.45,52.87,32.23,47.06,-98.49,-90.73,16.31,8.7,2.17,-164.98,2.58,2.64,0.0,1.0,4.74,0.09,0.0,4.72,6.87
2024-07-14 21:18:51,56.09,53.6,22.85,22.9,55.45,52.95,32.35,47.17,-99.17,-90.76,16.31,8.7,2.17,-164.98,2.47,2.51,0.0,1.0,4.5,0.09,0.0,4.52,6.87
2024-07-14 21:19:25,56.1,53.67,22.85,22.9,55.46,53.02,32.48,47.28,-100.48,-91.27,20.67,8.7,2.18,-250.99,2.6,2.63,0.0,1.0,4.51,0.09,0.0,4.53,7.06
2024-07-14 21:19:00,56.12,53.74,22.85,22.9,55.49,53.09,32.6,47.39,-99.05,-90.64,17.39,11.96,2.17,-250.99,2.6,2.64,0.0,1.0,4.52,0.09,0.0,4.54,7.19
2024-07-14 21:20:34,56.14,53.8,22.85,22.89,55.51,53.15,32.73,47.53,-99.52,-91.01,17.39,11.96,2.17,-250.99,2.56,2.59,0.0,1.0,4.44,0.08,0.0,4.48,7.19
2024-07-14 21:21:09,56.19,53.85,22.85,22.89,55.54,53.21,32.86,47.63,-98.86,-90.66,16.31,8.7,2.17,-251.78,2.49,2.52,0.0,1.0,4.33,0.07,0.0,4.33,7.0
2024-07-14 21:21:43,56.26,53.91,22.85,22.89,55.61,53.26,32.98,47.74,-98.92,-90.49,16.31,8.7,2.17,-251.78,2.54,2.57,0.0,1.0,4.4,0.09,0.0,4.4,7.09
2024-07-14 21:22:17,56.3,53.96,22.85,22.89,55.66,53.31,33.1,47.82,-98.89,-90.68,16.31,8.7,2.17,-252.57,2.53,2.57,0.0,1.0,4.38,0.09,0.0,4.4,7.09
2024-07-14 21:22:52,56.34,54.0,22.84,22.89,55.7,53.36,33.23,47.91,-99.78,-90.78,16.31,10.87,2.17,-252.57,2.6,2.64,0.0,1.0,4.53,0.1,0.0,4.53,7.34
2024-07-14 21:23:26,56.4,54.06,22.85,22.88,55.75,53.4,33.34,48.0,-98.81,-90.67,21.74,8.7,2.17,-230.08,2.5,2.55,0.0,1.0,4.4,0.09,0.0,4.4,7.1
2024-07-14 21:23:00,56.45,54.1,22.84,22.88,55.8,53.44,33.46,48.06,-98.26,-90.66,17.39,8.7,2.17,-230.08,2.48,2.51,0.0,1.0,4.35,0.09,0.0,4.37,7.02
2024-07-14 21:24:34,56.49,54.15,22.84,22.88,55.84,53.5,33.57,48.11,-98.59,-90.56,17.39,8.7,2.17,-230.08,2.47,2.5,0.0,1.0,4.35,0.09,0.0,4.35,7.02
2024-07-14 21:25:09,55.64,54.2,22.84,22.88,55.45,53.54,33.68,48.15,-98.52,-90.47,17.39,11.96,2.17,-230.08,1.72,1.08,0.0,1.0,1.71,0.08,0.0,2.63,7.11
2024-07-14 21:25:43,54.53,54.24,22.84,22.88,54.13,53.59,33.78,48.15,-97.97,-90.42,17.41,8.7,2.18,-133.36,1.5,0.73,0.0,1.0,0.36,0.07,0.0,0.73,6.9
2024-07-14 21:26:17,54.34,54.25,22.84,22.88,53.83,53.61,33.89,48.22,-98.71,-90.57,17.41,8.7,2.18,-133.36,0.7,0.24,0.0,1.0,0.15,0.07,0.0,0.38,6.9
2024-07-14 21:26:51,54.25,54.19,22.84,22.88,53.74,53.54,33.99,48.29,-98.12,-90.31,17.39,8.7,2.17,-285.61,0.94,0.3,0.0,1.0,0.13,0.07,0.0,0.37,7.04
2024-07-14 21:27:26,54.14,54.07,22.84,22.88,53.62,53.44,34.1,48.37,-98.99,-90.48,21.76,8.7,2.18,-285.44,0.88,0.3,0.0,1.0,0.11,0.07,0.0,0.33,7.04
2024-07-14 21:28:00,54.01,53.95,22.84,22.88,53.5,53.3,34.21,48.44,-98.52,-90.32,21.76,8.7,2.18,-285.44,0.88,0.15,0.0,1.0,0.06,0.07,0.0,0.33,7.04
2024-07-14 21:28:35,53.83,53.82,22.84,22.88,53.33,53.18,34.32,48.48,-98.89,-90.47,17.41,11.97,3.26,-285.44,0.67,0.05,0.0,1.0,0.02,0.08,0.0,0.27,7.19
2024-07-14 21:29:09,53.73,53.7,22.84,22.88,53.21,53.07,34.42,48.54,-98.33,-90.48,16.32,8.7,2.18,-285.44,0.66,0.25,0.0,1.0,0.09,0.07,0.0,0.28,7.06
2024-07-14 21:29:44,55.04,53.58,22.84,22.88,53.77,52.96,34.52,48.56,-98.41,-90.4,16.29,8.69,2.17,-45.09,0.96,1.63,0.0,1.0,4.42,0.08,0.0,3.08,7.25
2024-07-14 21:30:19,56.67,53.47,22.84,22.88,55.8,52.86,34.62,48.57,-98.3,-90.3,16.29,8.69,2.17,-45.09,2.24,2.42,0.0,1.0,6.28,0.08,0.0,5.91,7.25
2024-07-14 21:30:52,56.82,53.44,22.84,22.88,56.09,52.83,34.71,48.6,-98.81,-90.53,17.38,11.95,2.17,-86.05,2.48,2.59,0.0,1.0,6.6,0.08,0.0,6.38,7.33
2024-07-14 21:31:27,56.78,53.56,22.84,22.88,56.25,52.93,34.81,48.6,-98.44,-90.44,21.74,8.7,2.17,-102.46,3.14,2.39,0.0,1.0,4.16,0.08,0.0,5.41,7.27
2024-07-14 21:32:02,54.37,53.77,22.84,22.88,54.1,53.11,34.89,48.58,-98.71,-90.59,21.74,8.7,2.17,-102.46,0.84,0.43,0.0,1.0,0.73,0.08,0.0,1.34,7.27
2024-07-14 21:32:36,54.07,53.95,22.84,22.88,53.56,53.28,34.98,48.61,-98.59,-90.52,16.32,8.7,2.18,-133.6,0.86,0.36,0.0,1.0,0.17,0.08,0.0,0.44,7.16
2024-07-14 21:33:11,54.07,54.01,22.84,22.88,53.53,53.34,35.05,48.66,-98.67,-90.46,17.41,11.97,2.18,-285.44,0.87,0.3,0.0,1.0,0.09,0.07,0.0,0.35,6.95
2024-07-14 21:33:45,54.02,53.95,22.85,22.88,53.49,53.29,35.13,48.69,-98.66,-90.51,17.41,8.7,2.18,-285.44,0.93,0.35,0.0,1.0,0.11,0.06,0.0,0.38,7.28
2024-07-14 21:34:20,53.91,53.85,22.85,22.88,53.39,53.19,35.21,48.72,-98.6,-90.65,16.32,8.7,2.18,-285.44,0.97,0.36,0.0,1.0,0.12,0.08,0.0,0.38,7.28
2024-07-14 21:34:54,53.75,53.73,22.85,22.88,53.24,53.08,35.29,48.73,-98.76,-90.55,17.41,8.7,2.18,-285.27,0.72,0.0,0.0,1.0,0.02,0.06,0.0,0.26,7.16
2024-07-14 21:35:28,53.65,53.62,22.85,22.89,53.12,52.98,35.37,48.74,-98.86,-90.73,21.76,8.7,2.18,-285.44,0.68,0.21,0.0,1.0,0.06,0.08,0.0,0.29,7.4
2024-07-14 21:36:03,54.08,53.52,22.85,22.89,53.22,52.89,35.45,48.73,-99.34,-90.67,21.76,8.7,2.18,-285.44,2.88,7.29,0.0,1.0,2.99,0.08,0.0,1.68,7.4
2024-07-14 21:36:37,56.41,53.42,22.85,22.89,55.46,52.79,35.53,48.73,-98.78,-90.56,17.38,8.69,2.17,-22.24,2.06,2.29,0.0,1.0,5.99,0.08,0.0,5.55,7.25
2024-07-14 21:37:11,56.64,53.37,22.85,22.89,55.91,52.75,35.6,48.74,-99.01,-90.65,17.38,11.95,2.17,-86.05,2.31,2.42,0.0,1.0,6.14,0.07,0.0,5.95,7.05
2024-07-14 21:37:46,56.84,53.47,22.85,22.89,56.12,52.84,35.67,48.7,-99.57,-90.8,17.38,11.95,2.17,-86.05,2.38,2.3,0.0,1.0,5.62,0.07,0.0,6.01,7.05
2024-07-14 21:38:20,54.58,53.67,22.85,22.89,54.41,53.02,35.73,48.67,-99.61,-90.88,16.32,8.7,2.18,-133.36,3.85,2.22,0.0,1.0,1.08,0.08,0.0,1.8,7.19
2024-07-14 21:38:54,54.06,53.9,22.85,22.89,53.58,53.23,35.78,48.64,-99.2,-90.41,17.41,9.79,2.18,-132.88,1.08,0.44,0.0,1.0,0.21,0.08,0.0,0.54,7.26
2024-07-14 21:39:29,54.07,54.01,22.85,22.89,53.52,53.32,35.83,48.62,-100.21,-91.04,21.76,8.7,2.18,-285.44,0.96,0.31,0.0,1.0,0.11,0.07,0.0,0.35,7.03
2024-07-14 21:40:03,54.04,53.98,22.86,22.89,53.51,53.31,35.88,48.65,-99.54,-90.88,21.76,8.7,2.18,-285.44,0.93,0.25,0.0,1.0,0.09,0.07,0.0,0.37,7.03
2024-07-14 21:40:38,53.95,53.89,22.86,22.9,53.43,53.22,35.92,48.68,-99.78,-90.81,16.32,8.7,2.18,-285.44,0.96,0.31,0.0,1.0,0.11,0.06,0.0,0.36,7.15
2024-07-14 21:41:12,53.81,53.78,22.86,22.9,53.3,53.13,35.97,48.71,-100.33,-91.16,16.31,10.87,2.17,-285.61,0.75,0.15,0.0,1.0,0.04,0.07,0.0,0.3,7.02
2024-07-14 21:41:47,53.69,53.68,22.86,22.9,53.16,53.03,36.03,48.75,-99.62,-90.83,16.31,10.87,2.17,-285.61,0.61,0.15,0.0,1.0,0.04,0.07,0.0,0.26,7.02
2024-07-14 21:42:21,53.74,53.58,22.86,22.9,53.14,52.94,36.08,48.74,-99.85,-90.94,17.41,8.7,2.18,-285.27,1.16,2.09,0.0,1.0,0.98,0.07,0.0,0.59,6.97
2024-07-14 21:42:56,56.17,53.48,22.86,22.9,55.1,52.85,36.13,48.73,-99.78,-90.89,17.36,11.94,2.17,-42.71,1.76,2.09,0.0,1.0,5.44,0.07,0.0,4.84,7.07
2024-07-14 21:43:30,56.56,53.41,22.86,22.9,55.82,52.79,36.19,48.71,-99.74,-90.98,17.36,11.94,2.17,-42.71,2.19,2.32,0.0,1.0,5.96,0.07,0.0,5.75,7.07
2024-07-14 21:44:05,56.76,53.48,22.86,22.9,56.04,52.85,36.23,48.68,-99.93,-91.09,21.72,8.69,2.17,-64.38,2.37,2.48,0.0,1.0,6.3,0.08,0.0,6.16,7.25
2024-07-14 21:44:39,54.95,53.67,22.86,22.91,54.86,53.03,36.27,48.64,-100.68,-91.32,19.58,11.97,2.18,-133.12,5.18,3.21,0.0,1.0,1.56,0.1,0.0,2.5,7.39
2024-07-14 21:45:14,54.13,53.91,22.87,22.91,53.68,53.25,36.31,48.61,-100.03,-91.17,17.41,8.7,2.18,-133.12,1.27,0.58,0.0,1.0,0.28,0.09,0.0,0.62,7.15
